Timestamp,Pin0,Pin1,Pin2,Pin3,Pin4,Pin5
1683137418929192964,0,0,0,0,0,0
1683137418931852393,900,900,1000,1000,1000,1000
1683137418934446138,900,900,1000,1000,1000,1000
1683137418937024993,900,900,1000,1000,1005,1005
1683137418939605090,900,900,1000,1000,995,995
1683137418942178501,900,900,1000,1000,1005,1005
1683137418944753023,900,900,1000,1000,1005,1005
1683137418947327490,900,900,1000,1000,1000,1000
1683137418949902493,900,900,1000,1000,1000,1000
1683137418952475441,900,900,1000,1000,1000,1000
1683137418955049186,900,900,1000,1000,995,995
1683137418957623949,900,900,1000,1000,1005,1005
1683137418960212823,900,900,1000,1000,1005,1005
1683137418962787475,900,900,1000,1000,1000,1000
1683137418965362589,900,900,1000,1000,1005,1005
1683137418967937778,900,900,1000,1000,995,995
1683137418970513986,900,900,1000,1000,1000,1000
1683137418973086656,900,900,1000,1000,1005,1005
1683137418975659697,900,900,1000,1000,995,995
1683137418978233089,900,900,1000,1000,1000,1000
1683137418980806149,900,900,1000,1000,1000,1000
1683137418983379004,900,900,1000,1000,1000,1000
1683137418985952249,900,900,1000,1000,1005,1005
1683137418988525715,900,900,1000,1000,1005,1005
1683137418991098700,900,900,1000,1000,1000,1000
1683137418993671445,900,900,1000,1000,1005,1005
1683137418996205856,900,900,1000,1000,995,995
1683137418998779582,900,900,1000,1000,1000,1000
1683137419001352530,900,900,1000,1000,1000,1000
1683137419003925719,900,900,1000,1000,995,995
1683137419006524908,900,900,1000,1000,1005,1005
1683137419009101671,900,900,1000,1000,1000,1000
1683137419011680211,900,900,1000,1000,1000,1000
1683137419014254789,900,900,1000,1000,995,995
1683137419016828997,900,900,1000,1000,995,995
1683137419019402945,900,900,1000,1000,1005,1005
1683137419021978560,900,900,1000,1000,1005,1005
1683137419024552897,900,900,1000,1000,995,995
1683137419027127178,900,900,1000,1000,995,995
1683137419029700682,900,900,1000,1000,1000,1000
1683137419032274371,900,900,1000,1000,1000,1000
1683137419034851226,900,900,1000,1000,1000,1000
1683137419037425600,900,900,1000,1000,1000,1000
1683137419039999234,900,900,1000,1000,1000,1000
1683137419042573071,900,900,1000,1000,995,995
1683137419045146815,900,900,1000,1000,1005,1005
1683137419047722726,900,900,1002,1002,997,997
1683137419050296693,900,900,1000,1000,995,995
1683137419052870678,902,902,1000,1000,995,995
1683137419055444997,900,900,1000,1000,1000,1000
1683137419058018593,900,900,1000,1000,1000,1000
1683137419060594208,900,900,1000,1000,1005,1005
1683137419063168211,900,900,1000,1000,995,995
1683137419065742011,900,900,1000,1000,995,995
1683137419068315848,900,900,1000,1000,1000,1000
1683137419070890148,900,900,1000,1000,995,995
1683137419073464152,900,900,1000,1000,1005,1005
1683137419076051008,900,900,1000,1000,1000,1000
1683137419078625437,900,900,1000,1000,995,995
1683137419081199478,900,900,1000,1000,1000,1000
1683137419083773667,900,900,1000,1000,1000,1000
1683137419086347152,900,900,1000,1000,1005,1005
1683137419088920822,900,900,1000,1000,1005,1005
1683137419091494752,898,898,998,998,998,998
1683137419094076126,898,898,998,998,998,998
1683137419096650259,900,900,1000,1000,995,995
1683137419099224115,900,900,1000,1000,995,995
1683137419101798008,900,900,1000,1000,1000,1000
1683137419104374678,900,900,1000,1000,995,995
1683137419106950219,900,900,1000,1000,1000,1000
1683137419109524111,900,900,1000,1000,1000,1000
1683137419112097689,900,900,1000,1000,1005,1005
1683137419114671619,900,900,1000,1000,1005,1005
1683137419117245474,900,900,1000,1000,995,995
1683137419119819237,900,900,1000,1000,995,995
1683137419122392574,900,900,1000,1000,1000,1000
1683137419124966189,900,900,1000,1000,1000,1000
1683137419127539915,900,900,1000,1000,1000,1000
1683137419130067382,900,900,1000,1000,1000,1000
1683137419132641515,900,900,1000,1000,1005,1005
1683137419135215223,900,900,1000,1000,1000,1000
1683137419137789189,900,900,1000,1000,995,995
1683137419140362748,900,900,1000,1000,1000,1000
1683137419142936271,900,900,1000,1000,1005,1005
1683137419145510200,900,900,1000,1000,1000,1000
1683137419148083908,900,900,1000,1000,1005,1005
1683137419150657708,900,900,1000,1000,1000,1000
1683137419153231137,900,900,1000,1000,995,995
1683137419155805197,900,900,1000,1000,1005,1005
1683137419158379682,900,900,1000,1000,1000,1000
1683137419160953204,900,900,1001,1001,1001,1001
1683137419163526782,900,900,1000,1000,1005,1005
1683137419166102397,900,900,1000,1000,995,995
1683137419168677567,900,900,1000,1000,1000,1000
1683137419171251274,900,900,1000,1000,1005,1005
1683137419173825111,900,900,1000,1000,1000,1000
1683137419176398578,900,900,1000,1000,1000,1000
1683137419178971952,900,900,1000,1000,1000,1000
